frame,active_tracks
1812,6
1813,7
1814,7
1815,8
1816,10
1817,10
1818,8
1819,7
1820,9
1821,8
1822,10
1823,7
1824,7
1825,7
1826,7
1827,7
1828,8
1829,7
1830,7
1831,6
1832,7
1833,7
1834,8
1835,7
1836,7
1837,5
1838,6
1839,8
1840,9
1841,8
1842,7
1843,8
1844,7
1845,8
1846,8
1847,8
1848,9
1849,9
1850,9
1851,8
1852,8
1853,8
1854,8
1855,9
1856,6
1857,6
1858,8
1859,8
1860,8
1861,6
1862,8
1863,9
1864,7
1865,6
1866,6
1867,7
1868,7
1869,7
1870,8
1871,8
1872,7
1873,9
1874,9
1875,9
1876,10
1877,9
1878,10
1879,10
1880,10
1881,9
1882,10
1883,10
1884,10
1885,9
1886,8
1887,9
1888,8
1889,8
1890,8
1891,8
1892,8
1893,9
1894,8
1895,8
1896,8
1897,8
1898,7
1899,7
1900,8
1901,8
1902,8
1903,7
1904,7
1905,7
1906,8
1907,8
1908,6
1909,7
1910,7
1911,8
1912,8
1913,8
1914,8
1915,8
1916,7
1917,8
1918,7
1919,7
1920,8
1921,7
1922,8
1923,7
1924,0
1925,13
1926,13
1927,14
1928,14
1929,14
1930,14
1931,13
1932,14
1933,13
1934,14
1935,13
1936,14
1937,14
1938,14
1939,15
1940,15
1941,15
1942,14
1943,14
1944,14
1945,15
1946,16
1947,16
1948,17
1949,16
1950,17
1951,16
1952,17
1953,17
1954,17
1955,17
1956,17
1957,16
1958,17
1959,17
1960,15
1961,15
1962,17
1963,16
1964,16
1965,14
1966,15
1967,14
1968,14
1969,16
1970,16
1971,14
1972,16
1973,16
1974,16
1975,17
1976,15
1977,15
1978,14
1979,14
1980,14
1981,14
1982,14
1983,14
1984,14
1985,14
1986,16
1987,16
1988,16
1989,16
1990,15
1991,16
1992,16
1993,15
1994,14
1995,16
1996,16
1997,16
1998,16
1999,16
2000,15
2001,16
2002,16
2003,16
2004,16
2005,16
2006,16
2007,14
2008,15
2009,16
2010,16
2011,16
2012,15
2013,15
2014,14
2015,15
2016,15
2017,15
2018,15
2019,15
2020,16
2021,16
2022,16
2023,16
2024,16
2025,16
2026,15
2027,15
2028,15
2029,15
2030,15
2031,16
2032,16
2033,16
2034,16
2035,16
2036,16
2037,16
2038,15
2039,15
2040,16
2041,15
2042,16
2043,16
2044,16
2045,15
2046,15
2047,15
2048,15
2049,15
2050,14
2051,13
2052,14
2053,13
2054,11
2055,12
2056,12
2057,11
2058,12
2059,12
2060,11
2061,11
2062,12
2063,13
2064,12
2065,12
2066,13
2067,13
2068,12
2069,12
2070,12
2071,12
2072,12
2073,12
2074,12
2075,12
2076,13
2077,11
2078,12
2079,12
2080,10
2081,10
2082,10
2083,11
2084,11
2085,11
2086,11
2087,11
2088,11
2089,11
2090,11
2091,11
2092,11
2093,11
2094,11
2095,11
2096,11
2097,11
2098,11
